Vendor,Vendor Name,Psoft Part Number,MOVE Part Number,Qty OnHand,Status,Type,Stock Type,Weight,Weight UOM,Master Pack Qty,Std Pack Qty
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005849071,904394-X REV A/-3,516,A,DE,STND,0, ,1,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005726347,799803B03750G,2,A,IN,STD2,0, ,1,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005660557,28876.CP REV A,2,A,EE,CUST,0, ,1,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005624730,48805 REV -,10,A,DE,STND,0, ,1,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005624683,17150010 REV B,35,A,DE,STND,0, ,1,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005622860,CT-H0-0473,1014,A,DE,CUST,0, ,2000,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005549006,330721B00032G,41,A,FN,CST2,0, ,1000,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005247960,340207,2900,A,DE,CUST,0, , ,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005247959,340206,1048,A,DE,CUST,0, , ,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000005008551,HS-005-HS-005P,5000,A,EE,CST1,0, , ,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000003635610,MAX08NG,6849,A,BB,STND,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000003635609,MAX07NG,43924,A,AB,STD1,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000003635608,MAX04NG,74795,A,DD,MGD,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000003635607,MAX03NG,57815,A,BC,MGD,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000003635606,MAX03-HNG,14844,A,DC,CUST,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000003635605,MAX02NG,56558,A,BC,STND,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000003635603,MAX01NG,3000,A,DD,MGD,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000003496535,53-78-1ACG,10080,A,BC,STND,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000003134609,7717-22DAPG,4000,A,EE,CST2,0, , ,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002980646,374324B00032G,50,A,EE,STND,0, , ,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002980640,B-375-120-30G,414,A,DE,CUST,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002980598,188790F00000G,220,A,EE,STND,0, ,0,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002757980,7109D/TRG,2250,A,IB,STD1,0, ,0,125
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002757979,7106D/TRG,2000,A,IC,STD1,0, ,0,200
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002661099,2341BG,3500,A,IN,CST2,0, ,1000,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002482285,534202B13453G,1500,A,DE,CST1,0, ,1000,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002449271,374624B00032G,4960,A,DB,STND,0, ,930,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002396221,295-X00018,500,A,EE,STND,0, ,500,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002285366,375224B00032G,4107,A,AB,STND,0, ,1000,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002265511,53-77-4ACG,9564,A,BD,MGD1,0, ,1000,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002187138,581002B02500GW/4-40TAP,410,A,DE,STND,0, ,1000,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002180685,780703U03000,1630,A,DE,CUST,0, , ,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002174101,533402B02552G,1502,A,BC,STND,0, ,500,250
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002160498,CLP-212G,2500,A,IB,MGD2,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002160484,7721-3PPSG,24922,A,DC,CUST,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002160483,7721-15NG,88493,A,AB,STND,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002160441,7178DG,9831,A,DE,CUST,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002160435,7130DG,6084,A,DE,CUST,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002160422,6236BG,2,A,EE,CST2,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002160401,590302B03600G,2950,A,EB,STD1,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002160377,578205B00000G,5180,A,BC,STND,0, ,0,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002160314,43-18-1G,3800,A,BD,MGD,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002160295,374424B00035G,1390,A,DE,CST2,0, ,0,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002160231,551002B00000G,6232,A,BB,STND,0, ,2000,250
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002146581,6237BG,7552,A,AB,MGD,0, , ,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002133427,4180G,13201,A,AA,STND,0, ,1000,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000002118205,529902B02500G,4027,A,BB,MGD,0, ,750,250
